rank,f_name,l_name,team,rookie
1,Johnathan,Cyprien,TEN,FALSE
2,Harrison,Smith,MIN,FALSE
3,Keanu,Neal,ATL,FALSE
4,Landon,Collins,NYG,FALSE
5,Eric,Weddle,BAL,FALSE
6,T.J.,Ward,DEN,FALSE
7,Tony,Jefferson,BAL,FALSE
8,Hasean,Clinton-Dix,GB,FALSE
9,Morgan,Burnett,GB,FALSE
10,Kurt,Coleman,CAR,FALSE
11,Eric,Berry,KC,FALSE
12,Barry,Church,JAC,FALSE
13,Reshad,Jones,MIA,FALSE
14,Malcolm,Jenkins,PHI,FALSE
15,Logan,Ryan,TEN,FALSE
16,Chris,Conte,TB,FALSE
17,Kenny,Vaccaro,NO,FALSE
18,Antoine,Bethea,ARI,FALSE
19,Tyrann,Mathieu,ARI,FALSE
20,Kam,Chancellor,SEA,FALSE
21,Karl,Joseph,OAK,FALSE
22,Corey,Graham,,FALSE
23,Bashaud,Breeland,WAS,FALSE
24,Clayton,Geathers,IND,FALSE
25,Tavon,Wilson,DET,FALSE
26,Daryl,Worley,CAR,FALSE
27,Jaquiski,Tartt,SF,FALSE
28,Su'a,Cravens,WAS,FALSE
29,Bradley,McDougald,SEA,FALSE
30,Vonn,Bell,NO,FALSE
31,Jahleel,Addae,LAC,FALSE
32,Byron,Jones,DAL,FALSE
33,Reggie,Nelson,OAK,FALSE
34,Earl,Thomas,SEA,FALSE
35,Devin,McCourty,NE,FALSE
36,Marcus,Peters,KC,FALSE
37,Shawn,Williams,CIN,FALSE
38,Vernon,Hargreaves,TB,FALSE
39,Rodney,McLeod,PHI,FALSE
40,D.J.,Swearinger,WAS,FALSE
41,Mike,Adams,CAR,FALSE
42,Ricardo,Allen,ATL,FALSE
43,Ron,Parker,KC,FALSE
44,Daniel,Sorensen,KC,FALSE
45,Eric,Reid,SF,FALSE
46,Patrick,Chung,NE,FALSE
47,Calvin,Pryor,CLE,FALSE
48,Micah,Hyde,BUF,FALSE
49,T.J.,McDonald,MIA,FALSE
50,Casey,Hayward,LAC,FALSE
51,Sean,Davis,PIT,FALSE
52,DeShawn,Shead,SEA,FALSE
53,Jalen,Ramsey,JAC,FALSE
54,Josh,Norman,WAS,FALSE
55,Lardarius,Webb,BAL,FALSE
56,Quintin,Demps,CHI,FALSE
57,Isa,Abdul-Quddus,,FALSE
58,Malcolm,Butler,NE,FALSE
59,Jason,McCourty,CLE,FALSE
60,Michael,Mitchell,PIT,FALSE
61,Darian,Stewart,DEN,FALSE
62,Brent,Grimes,TB,FALSE
63,David,Amerson,OAK,FALSE
64,Ronald,Darby,BUF,FALSE
65,Chris,Harris,DEN,FALSE
66,Robert,Alford,ATL,FALSE
67,Prince,Amukamara,CHI,FALSE
68,Trumaine,Johnson,LAR,FALSE
69,Andrew,Sendejo,MIN,FALSE
70,George,Iloka,CIN,FALSE
71,Xavier,Rhodes,MIN,FALSE
72,Glover,Quin,DET,FALSE
73,Adrian,Amos,CHI,FALSE
74,Adam,Jones,CIN,FALSE
75,Janoris,Jenkins,NYG,FALSE
76,Dominique,Rodgers-Cromartie,NYG,FALSE
77,Dwight,Lowery,LAC,FALSE
78,Kareem,Jackson,HOU,FALSE
79,Jimmie,Ward,SF,FALSE
80,James,Bradberry,CAR,FALSE
81,Lamarcus,Joyner,LAR,FALSE
82,Aqib,Talib,DEN,FALSE
83,Marcus,Gilchrist,,FALSE
84,Richard,Sherman,SEA,FALSE
