rank,f_name,l_name,team,rookie
1,J.J.,Watt,HOU,FALSE
2,Olivier,Vernon,NYG,FALSE
3,Jason,Pierre-Paul,NYG,FALSE
4,Aaron,Donald,LAR,FALSE
5,Danielle,Hunter,MIN,FALSE
6,Calais,Campbell,JAC,FALSE
7,Cameron,Jordan,NO,FALSE
8,Carlos,Dunlap,CIN,FALSE
9,Muhammad,Wilkerson,NYJ,FALSE
10,Joey,Bosa,LAC,FALSE
11,Ndamukong,Suh,MIA,FALSE
12,Everson,Griffen,MIN,FALSE
13,Leonard,Williams,NYJ,FALSE
14,Myles,Garrett,CLE,TRUE
15,Fletcher,Cox,PHI,FALSE
16,Brandon,Graham,PHI,FALSE
17,DeForest,Buckner,SF,FALSE
18,Kawann,Short,CAR,FALSE
19,Ezekiel,Ansah,DET,FALSE
20,Robert,Quinn,LAR,FALSE
21,Cameron,Wake,MIA,FALSE
22,Damon,Harrison,NYG,FALSE
23,Geno,Atkins,CIN,FALSE
24,Kyle,Williams,BUF,FALSE
25,Michael,Bennett,SEA,FALSE
26,Linval,Joseph,MIN,FALSE
27,Cliff,Avril,SEA,FALSE
28,Sheldon,Richardson,NYJ,FALSE
29,Frank,Clark,SEA,FALSE
30,Akiem,Hicks,CHI,FALSE
31,Jabaal,Sheard,IND,FALSE
32,Malik,Jackson,JAC,FALSE
33,Chris,Baker,TB,FALSE
34,Cameron,Heyward,PIT,FALSE
35,Marcell,Dareus,BUF,FALSE
36,Rob,Ninkovich,NE,FALSE
37,Nick,Fairley,NO,FALSE
38,Derek,Wolfe,DEN,FALSE
39,Mario,Addison,CAR,FALSE
40,Gerald,McCoy,TB,FALSE
41,Jurrell,Casey,TEN,FALSE
42,Stephon,Tuitt,PIT,FALSE
43,Vinny,Curry,PHI,FALSE
44,William,Gholston,TB,FALSE
45,Andre,Branch,MIA,FALSE
46,Johnathan,Hankins,IND,FALSE
47,Demarcus,Lawrence,DAL,FALSE
48,Dante,Fowler Jr.,JAC,FALSE
49,Noah,Spence,TB,FALSE
50,Connor,Barwin,LAR,FALSE
51,Robert,Ayers,TB,FALSE
52,William,Hayes,MIA,FALSE
53,Charles,Johnson,CAR,FALSE
54,Kony,Ealy,NE,FALSE
55,Corey,Liuget,LAC,FALSE
56,Mike,Daniels,GB,FALSE
