rank,f_name,l_name,team,rookie
1,Stephen,Gostkowski,NE,FALSE
2,Justin,Tucker,BAL,FALSE
3,Dan,Bailey,DAL,FALSE
4,Adam,Vinatieri,IND,FALSE
5,Mason,Crosby,GB,FALSE
6,Matt,Bryant,ATL,FALSE
7,Sebastian,Janikowski,OAK,FALSE
8,Steven,Hauschka,BUF,FALSE
9,Graham,Gano,CAR,FALSE
10,Matt,Prater,DET,FALSE
11,Brandon,McManus,DEN,FALSE
12,Cairo,Santos,KC,FALSE
13,Blair,Walsh,SEA,FALSE
14,Chris,Boswell,PIT,FALSE
15,Will,Lutz,NO,FALSE
16,Dustin,Hopkins,WAS,FALSE
17,Chandler,Catanzaro,NYJ,FALSE
18,Nick,Novak,HOU,FALSE
19,Josh,Lambo,LAC,FALSE
20,Caleb,Sturgis,PHI,FALSE
21,Aldrick,Rosas,NYG,FALSE
22,Phil,Dawson,ARI,FALSE
23,Nick,Folk,TB,FALSE
24,Roberto,Aguayo,TB,FALSE
25,Jake,Elliott,CIN,FALSE
26,Andrew,Franks,MIA,FALSE
27,Robbie,Gould,SF,FALSE
28,Jason,Myers,JAC,FALSE
29,Connor,Barth,CHI,FALSE
30,Greg,Zuerlein,LAR,FALSE
31,Ryan,Succop,TEN,FALSE
32,Kai,Forbath,MIN,FALSE
33,Zane,Gonzalez,CLE,FALSE
