rank,f_name,l_name,team,rookie
1,Bobby,Wagner,SEA,FALSE
2,Luke,Kuechly,CAR,FALSE
3,Kwon,Alexander,TB,FALSE
4,Alec,Ogletree,LAR,FALSE
5,Jamie,Collins,CLE,FALSE
6,Sean,Lee,DAL,FALSE
7,Telvin,Smith,JAC,FALSE
8,C.J.,Mosley,BAL,FALSE
9,Ryan,Shazier,PIT,FALSE
10,Benardrick,McKinney,HOU,FALSE
11,Christian,Kirksey,CLE,FALSE
12,Eric,Kendricks,MIN,FALSE
13,Lavonte,David,TB,FALSE
14,Deion,Jones,ATL,FALSE
15,Vontaze,Burfict,CIN,FALSE
16,Mark,Barron,LAR,FALSE
17,Navorro,Bowman,SF,FALSE
18,Zach,Brown,WAS,FALSE
19,Khalil,Mack,OAK,FALSE
20,Derrick,Johnson,KC,FALSE
21,Paul,Posluszny,JAC,FALSE
22,K.J.,Wright,SEA,FALSE
23,Kiko,Alonso,MIA,FALSE
24,Jerrell,Freeman,CHI,FALSE
25,Jatavis,Brown,LAC,FALSE
26,Jordan,Hicks,PHI,FALSE
27,Malcolm,Smith,SF,FALSE
28,Reuben,Foster,SF,TRUE
29,Deone,Bucannon,ARI,FALSE
30,Brandon,Marshall,DEN,FALSE
31,Tahir,Whitehead,DET,FALSE
32,Avery,Williamson,TEN,FALSE
33,Von,Miller,DEN,FALSE
34,Preston,Brown,BUF,FALSE
35,Lawrence,Timmons,MIA,FALSE
36,Danny,Trevathan,CHI,FALSE
37,Craig,Robertson,NO,FALSE
38,Myles,Jack,JAC,FALSE
39,Karlos,Dansby,ARI,FALSE
40,Mason,Foster,WAS,FALSE
41,Nigel,Bradham,PHI,FALSE
42,Denzel,Perryman,LAC,FALSE
43,Justin,Houston,KC,FALSE
44,Will,Compton,WAS,FALSE
45,Darron,Lee,NYJ,FALSE
46,Jonathan,Casillas,NYG,FALSE
47,Thomas,Davis,CAR,FALSE
48,Vic,Beasley,ATL,FALSE
49,Markus,Golden,ARI,FALSE
50,Demario,Davis,NYJ,FALSE
51,Kendell,Beckwith,TB,FALSE
52,De'Vondre,Campbell,ATL,FALSE
53,Chandler,Jones,ARI,FALSE
54,Kevin,Minter,CIN,FALSE
55,Brian,Cushing,HOU,FALSE
56,Anthony,Barr,MIN,FALSE
57,Jelani,Jenkins,OAK,FALSE
58,Jerry,Hughes,BUF,FALSE
59,Dont'a,Hightower,NE,FALSE
60,David,Harris,NYJ,FALSE
61,Wesley,Woodyard,TEN,FALSE
62,Shaq,Thompson,CAR,FALSE
63,Blake,Martinez,GB,FALSE
64,Melvin,Ingram,LAC,FALSE
65,Jake,Ryan,GB,FALSE
66,Ryan,Kerrigan,WAS,FALSE
67,Brian,Orakpo,TEN,FALSE
68,Whitney,Mercilus,HOU,FALSE
