rank,f_name,l_name,team,rookie
1,Aaron,Rodgers,GB,FALSE
2,Tom,Brady,NE,FALSE
3,Drew,Brees,NO,FALSE
4,Andrew,Luck,IND,FALSE
5,Matt,Ryan,ATL,FALSE
6,Russell,Wilson,SEA,FALSE
7,Jameis,Winston,TB,FALSE
8,Marcus,Mariota,TEN,FALSE
9,Cam,Newton,CAR,FALSE
10,Kirk,Cousins,WAS,FALSE
11,Derek,Carr,OAK,FALSE
12,Ben,Roethlisberger,PIT,FALSE
13,Dak,Prescott,DAL,FALSE
14,Philip,Rivers,LAC,FALSE
15,Matthew,Stafford,DET,FALSE
16,Eli,Manning,NYG,FALSE
17,Tyrod,Taylor,BUF,FALSE
18,Andy,Dalton,CIN,FALSE
19,Carson,Wentz,PHI,FALSE
20,Blake,Bortles,JAC,FALSE
21,Carson,Palmer,ARI,FALSE
22,Ryan,Tannehill,MIA,FALSE
23,Joe,Flacco,BAL,FALSE
24,Alex,Smith,KC,FALSE
25,Sam,Bradford,MIN,FALSE
26,Deshaun,Watson,HOU,TRUE
27,Mike,Glennon,CHI,FALSE
28,Jimmy,Garoppolo,NE,FALSE
29,Brian,Hoyer,SF,FALSE
30,Tom,Savage,HOU,FALSE
31,Jared,Goff,LAR,FALSE
32,Cody,Kessler,CLE,TRUE
33,Trevor,Siemian,DEN,FALSE
34,Mitch,Trubisky,CHI,TRUE
35,Paxton,Lynch,DEN,FALSE
36,Josh,McCown,NYJ,FALSE
37,DeShone,Kizer,CLE,FALSE
38,Patrick,Mahomes,KC,TRUE
39,Brock,Osweiler,CLE,FALSE
40,Teddy,Bridgewater,MIN,FALSE
41,Christian,Hackenberg,NYJ,FALSE
42,Matt,Barkley,SF,FALSE
43,Ryan,Fitzpatrick,TB,FALSE
44,Robert,Griffin,,FALSE
45,C.J.,Beathard,SF,TRUE
46,Colin,Kaepernick,,FALSE
47,AJ,McCarron,CIN,FALSE
48,Bryce,Petty,NYJ,FALSE
49,Matt,Moore,MIA,FALSE
50,Derek,Anderson,CAR,FALSE
