rank,f_name,l_name,team,rookie
1,Rob,Gronkowski,NE,FALSE
2,Travis,Kelce,KC,FALSE
3,Jordan,Reed,WAS,FALSE
4,Greg,Olsen,CAR,FALSE
5,Tyler,Eifert,CIN,FALSE
6,Jimmy,Graham,SEA,FALSE
7,Delanie,Walker,TEN,FALSE
8,Kyle,Rudolph,MIN,FALSE
9,Martellus,Bennett,GB,FALSE
10,Zach,Ertz,PHI,FALSE
11,Hunter,Henry,LAC,FALSE
12,Eric,Ebron,DET,FALSE
13,Jack,Doyle,IND,FALSE
14,C.J.,Fiedorowicz,HOU,FALSE
15,Coby,Fleener,NO,FALSE
16,O.J.,Howard,TB,TRUE
17,Jason,Witten,DAL,FALSE
18,Cameron,Brate,TB,FALSE
19,Antonio,Gates,LAC,FALSE
20,David,Njoku,CLE,TRUE
21,Austin,Hooper,ATL,FALSE
22,Julius,Thomas,MIA,FALSE
23,Zach,Miller,CHI,FALSE
24,Evan,Engram,NYG,TRUE
25,Jared,Cook,OAK,FALSE
26,Tyler,Higbee,LAR,FALSE
27,Vance,McDonald,SF,FALSE
28,Dwayne,Allen,NE,FALSE
29,Jermaine,Gresham,ARI,FALSE
30,Jesse,James,PIT,FALSE
31,Charles,Clay,BUF,FALSE
32,A.J.,Derby,DEN,FALSE
33,Jordan,Leggett,NYJ,TRUE
34,Austin,Seferian-Jenkins,NYJ,FALSE
35,Ladarius,Green,,FALSE
36,Erik,Swoope,IND,FALSE
37,Benjamin,Watson,BAL,FALSE
38,Vernon,Davis,WAS,FALSE
39,Richard,Rodgers,GB,FALSE
40,Adam,Shaheen,CHI,TRUE
41,Gerald,Everett,LAR,TRUE
42,Seth,DeValve,CLE,FALSE
43,Jake,Butt,DEN,TRUE
44,Dion,Sims,CHI,FALSE
45,Will,Tye,NYG,FALSE
46,Lance,Kendricks,GB,FALSE
47,Bucky,Hodges,MIN,TRUE
48,Clive,Walford,OAK,FALSE
49,Marcedes,Lewis,JAC,FALSE
50,Virgil,Green,DEN,FALSE
51,Gary,Barnidge,,FALSE
52,Mychal,Rivera,JAC,FALSE
53,George,Kittle,SF,TRUE
54,Ryan,Griffin,,FALSE
55,Josh,Hill,NO,FALSE
56,Maxx,Williams,BAL,FALSE
57,Xavier,Grimble,PIT,FALSE
58,Crockett,Gillmore,BAL,FALSE
59,Trey,Burton,PHI,FALSE
60,Stephen,Anderson,HOU,FALSE
62,Garrett,Celek,SF,FALSE
