rank,f_name,l_name,team,rookie
1,Antonio,Brown,PIT,FALSE
2,Julio,Jones,ATL,FALSE
3,Odell,Beckham Jr.,NYG,FALSE
4,Mike,Evans,TB,FALSE
5,A.J.,Green,CIN,FALSE
6,Jordy,Nelson,GB,FALSE
7,T.Y.,Hilton,IND,FALSE
8,Michael,Thomas,NO,FALSE
9,Dez,Bryant,DAL,FALSE
10,Amari,Cooper,OAK,FALSE
11,Doug,Baldwin,SEA,FALSE
12,DeAndre,Hopkins,HOU,FALSE
13,Brandin,Cooks,NE,FALSE
14,Alshon,Jeffery,PHI,FALSE
15,Allen,Robinson,JAC,FALSE
16,Sammy,Watkins,BUF,FALSE
17,Demaryius,Thomas,DEN,FALSE
18,Davante,Adams,GB,FALSE
19,Keenan,Allen,LAC,FALSE
20,Terrelle,Pryor,WAS,FALSE
21,Michael,Crabtree,OAK,FALSE
22,Jarvis,Landry,MIA,FALSE
23,Emmanuel,Sanders,DEN,FALSE
24,Julian,Edelman,NE,FALSE
25,Golden,Tate,DET,FALSE
26,Larry,Fitzgerald,ARI,FALSE
27,Donte,Moncrief,IND,FALSE
28,Tyreek,Hill,KC,FALSE
29,Stefon,Diggs,MIN,FALSE
30,Brandon,Marshall,NYG,FALSE
31,DeSean,Jackson,TB,FALSE
32,Kelvin,Benjamin,CAR,FALSE
33,Martavis,Bryant,PIT,FALSE
34,Jamison,Crowder,WAS,FALSE
35,Eric,Decker,NYJ,FALSE
36,Willie,Snead,NO,FALSE
37,Corey,Davis,TEN,TRUE
38,Pierre,Garcon,SF,FALSE
39,Rishard,Matthews,TEN,FALSE
40,Cameron,Meredith,CHI,FALSE
41,Devante,Parker,MIA,FALSE
42,Corey,Coleman,CLE,FALSE
43,Kenny,Britt,CLE,FALSE
44,Randall,Cobb,GB,FALSE
45,Jordan,Matthews,PHI,FALSE
46,Adam,Thielen,MIN,FALSE
47,Mike,Wallace,BAL,FALSE
48,Tyrell,Williams,LAC,FALSE
49,John,Brown,ARI,FALSE
50,Breshad,Perriman,BAL,FALSE
51,Marvin,Jones,DET,FALSE
52,Jeremy,Maclin,KC,FALSE
53,Mike,Williams,LAC,TRUE
54,Sterling,Shepard,NYG,FALSE
55,Josh,Doctson,WAS,FALSE
56,Ted,Ginn,NO,FALSE
57,John,Ross,CIN,TRUE
58,Robert,Woods,LAR,FALSE
59,Tyler,Lockett,SEA,FALSE
60,Kevin,White,CHI,FALSE
61,Quincy,Enunwa,NYJ,FALSE
62,Kenny,Stills,MIA,FALSE
63,J.J.,Nelson,ARI,FALSE
64,Taylor,Gabriel,ATL,FALSE
65,Zay,Jones,BUF,TRUE
66,Marqise,Lee,JAC,FALSE
67,Will,Fuller,HOU,FALSE
68,Robby,Anderson,NYJ,FALSE
69,Malcolm,Mitchell,NE,FALSE
70,Allen,Hurns,JAC,FALSE
71,Cole,Beasley,DAL,FALSE
72,Tavon,Austin,LAR,FALSE
73,Cooper,Kupp,LAR,TRUE
74,Curtis,Samuel,CAR,TRUE
75,Chris,Conley,KC,FALSE
76,Chris,Hogan,NE,FALSE
77,Devin,Funchess,CAR,FALSE
78,Eli,Rogers,PIT,FALSE
79,Kendall,Wright,CHI,FALSE
80,Mohamed,Sanu,ATL,FALSE
81,Jeremy,Kerley,SF,FALSE
82,Torrey,Smith,PHI,FALSE
83,JuJu,Smith-Schuster,PIT,TRUE
84,Brandon,LaFell,CIN,FALSE
85,Paul,Richardson,SEA,FALSE
86,Terrance,Williams,DAL,FALSE
87,Kamar,Aiken,IND,FALSE
88,Michael,Floyd,MIN,FALSE
89,Tyler,Boyd,CIN,FALSE
90,Travis,Benjamin,LAC,FALSE
91,Jermaine,Kearse,SEA,FALSE
92,Josh,Gordon,CLE,FALSE
93,Vincent,Jackson,,FALSE
94,Cordarrelle,Patterson,OAK,FALSE
95,Kenny,Golladay,DET,TRUE
96,Brandon,Coleman,NO,FALSE
97,ArDarius,Stewart,NYJ,TRUE
98,Chad,Williams,ARI,TRUE
99,Laquon,Treadwell,MIN,FALSE
100,Adam,Humphries,TB,FALSE
101,Carlos,Henderson,DEN,TRUE
102,Tajae,Sharpe,TEN,FALSE
103,Taywan,Taylor,TEN,TRUE
104,Josh,Reynolds,LAR,TRUE
105,Aldrick,Robinson,SF,FALSE
106,Markus,Wheaton,CHI,FALSE
107,Phillip,Dorsett,IND,FALSE
108,Dontrelle,Inman,LAC,FALSE
109,Chad,Hansen,NYJ,TRUE
110,Chris,Godwin,TB,TRUE
111,Rashard,Higgins,CLE,FALSE
112,Dorial,Green-Beckham,PHI,FALSE
113,Albert,Wilson,KC,FALSE
114,Dede,Westbrook,JAC,TRUE
115,Marquise,Goodwin,SF,FALSE
116,Brian,Quick,WAS,FALSE
117,Sammie,Coates,PIT,FALSE
118,Braxton,Miller,HOU,FALSE
119,Bruce,Ellington,SF,FALSE
120,Jaron,Brown,ARI,FALSE
121,Anquan,Boldin,,FALSE
122,Michael,Campanaro,BAL,FALSE
123,Andre,Holmes,BUF,FALSE
124,Seth,Roberts,OAK,FALSE
125,Nelson,Agholor,PHI,FALSE
126,Jaelen,Strong,HOU,FALSE
127,Stevie,Johnson,,FALSE
128,Darrius,Heyward-Bey,PIT,FALSE
129,Chris,Moore,BAL,FALSE
130,Mike,Thomas,LAR,FALSE
131,Brice,Butler,DAL,FALSE
132,Danny,Amendola,NE,FALSE
133,Charles,Johnson,CAR,FALSE
134,Philly,Brown,BUF,FALSE
135,Jeff,Janis,GB,FALSE
136,Pharoh,Cooper,LAR,FALSE
137,Quinton,Patton,NYJ,FALSE
138,Victor,Cruz,CHI,FALSE
139,Leonte,Carroo,MIA,FALSE
140,TJ,Jones,DET,FALSE
